Item,Quantity,Name
1,2,2f-85_finger
2,2,2f-85_finger_actuator
3,2,2f-85_finger_rotator
4,2,2f-85_finger_supporter
5,2,2f-85_finger_tips
6,1,2f-85_base_3
7,1,2f-85_base_2
8,1,2f-85_base_1
9,4,M2X8
10,2,Metal Servo Arm
11,2,DS3225MG 25KG
12,2,DS3225MG 25KG
13,1,servo_holder
